"Sessione";"CodVia";"Area";"Via";"Civico";"Barrato";"Sezione";"Municipio"
"26/05/2019";3123,00;"VIA";"A.DEL SARTO";1,00;"";665,00;3,00
"26/05/2019";3123,00;"VIA";"A.DEL SARTO";3,00;"";665,00;3,00
"26/05/2019";3123,00;"VIA";"A.DEL SARTO";4,00;"";665,00;3,00
"26/05/2019";3123,00;"VIA";"A.DEL SARTO";5,00;"";665,00;3,00
"26/05/2019";3123,00;"VIA";"A.DEL SARTO";6,00;"";665,00;3,00
"26/05/2019";3123,00;"VIA";"A.DEL SARTO";7,00;"";665,00;3,00
"26/05/2019";3123,00;"VIA";"A.DEL SARTO";8,00;"";665,00;3,00
"26/05/2019";3123,00;"VIA";"A.DEL SARTO";9,00;"";665,00;3,00
"26/05/2019";3123,00;"VIA";"A.DEL SARTO";10,00;"";665,00;3,00
"26/05/2019";3123,00;"VIA";"A.DEL SARTO";11,00;"";665,00;3,00
"26/05/2019";3123,00;"VIA";"A.DEL SARTO";13,00;"";665,00;3,00
"26/05/2019";3123,00;"VIA";"A.DEL SARTO";14,00;"";665,00;3,00
"26/05/2019";3123,00;"VIA";"A.DEL SARTO";15,00;"";665,00;3,00
"26/05/2019";3123,00;"VIA";"A.DEL SARTO";16,00;"";665,00;3,00
"26/05/2019";3123,00;"VIA";"A.DEL SARTO";18,00;"";665,00;3,00
"26/05/2019";3123,00;"VIA";"A.DEL SARTO";18,00;"A";665,00;3,00
"26/05/2019";3123,00;"VIA";"A.DEL SARTO";20,00;"";665,00;3,00
"26/05/2019";3123,00;"VIA";"A.DEL SARTO";21,00;"";665,00;3,00
"26/05/2019";3123,00;"VIA";"A.DEL SARTO";22,00;"";665,00;3,00
"26/05/2019";3123,00;"VIA";"A.DEL SARTO";23,00;"";665,00;3,00
"26/05/2019";3123,00;"VIA";"A.DEL SARTO";24,00;"";665,00;3,00
"26/05/2019";3123,00;"VIA";"A.DEL SARTO";26,00;"";665,00;3,00
"26/05/2019";3123,00;"VIA";"A.DEL SARTO";28,00;"";665,00;3,00
"26/05/2019";3123,00;"VIA";"A.DEL SARTO";30,00;"";665,00;3,00
"26/05/2019";3123,00;"VIA";"A.DEL SARTO";31,00;"";665,00;3,00
"26/05/2019";3123,00;"VIA";"A.DEL SARTO";32,00;"";665,00;3,00
"26/05/2019";3135,00;"VIA";"ABAMONTI GIUSEPPE";1,00;"";113,00;3,00
"26/05/2019";3135,00;"VIA";"ABAMONTI GIUSEPPE";2,00;"";113,00;3,00
"26/05/2019";3135,00;"VIA";"ABAMONTI GIUSEPPE";4,00;"";113,00;3,00
"26/05/2019";2558,00;"VIA";"ABANO";3,00;"";1565,00;3,00
"26/05/2019";2558,00;"VIA";"ABANO";4,00;"";1565,00;3,00
"26/05/2019";2558,00;"VIA";"ABANO";5,00;"";1565,00;3,00
"26/05/2019";2558,00;"VIA";"ABANO";6,00;"";1565,00;3,00
"26/05/2019";2558,00;"VIA";"ABANO";7,00;"";1565,00;3,00
"26/05/2019";2558,00;"VIA";"ABANO";8,00;"";1565,00;3,00
"26/05/2019";2558,00;"VIA";"ABANO";9,00;"";1565,00;3,00
"26/05/2019";2558,00;"VIA";"ABANO";10,00;"";1565,00;3,00
"26/05/2019";2558,00;"VIA";"ABANO";11,00;"";1565,00;3,00
"26/05/2019";2558,00;"VIA";"ABANO";14,00;"";1565,00;3,00
"26/05/2019";2558,00;"VIA";"ABANO";16,00;"";1565,00;3,00
